Set,일자,품목0 변동률,품목1 변동률,품목2 변동률,품목3 변동률,품목4 변동률,품목5 변동률,품목6 변동률,품목7 변동률,품목8 변동률,품목9 변동률,품목10 변동률,품목11 변동률,품목12 변동률,품목13 변동률,품목14 변동률,품목15 변동률,품목16 변동률,품목17 변동률,품목18 변동률,품목19 변동률,품목20 변동률,품목21 변동률,품목22 변동률,품목23 변동률,품목24 변동률,품목25 변동률,품목26 변동률,품목27 변동률,품목28 변동률,품목29 변동률,품목30 변동률,품목31 변동률,품목32 변동률,품목33 변동률,품목34 변동률,품목35 변동률,품목36 변동률
0,d+1,0.23248125544899736,0.004888554965537917,0.0077961172101122115,0.016453668691320693,-0.0023218876060204386,-0.10296768084469785,-1.0463386364305483,-0.10101559028167865,-0.15684565755704472,-0.016387832200944828,-0.045921706188918845,-0.008775806049985896,-0.03603276870118189,-0.07654893431385132,-0.06562151427888063,-0.02173377248310915,,0.03471781162467341,-0.015255969064259028,-0.03482409909886166,-0.015408766073874758,0.0032874662836947463,0.019923372038065344,-0.10124222708080952,-0.033771240029558926,-0.03163377762720879,7.142423538476889e-05,-0.06305574669375628,-0.0248497636134325,-0.012550357217354435,0.011938561418470214,-0.0017040366224397392,0.027046633798436533,-0.010173330868203344,-0.028200486111596812,-0.035171614292649075,0.023767762074729335
0,d+2,0.3263184991443055,0.06763893655744109,-0.02785326696421876,-0.014520348631024006,-0.056769909480543064,-0.06325414244000555,,-0.09448667088006413,-0.1577395479297201,0.0050339076618346286,-0.031125158109947777,-0.029613703613416965,-0.006261812395457709,-0.03991001369621744,-0.0643445436029529,-0.023170060663667218,-0.010524198629432375,0.015608386869994566,-0.0701864068891758,0.016479008934631532,-0.016748950443700866,0.049943668625532546,0.014448573767440683,-0.07840159588573357,-0.02485110188054175,0.007288545420801451,-0.062382512874347165,-0.1396088591660185,-0.08440755930107299,-0.07791033997623027,-0.03884124331153642,0.005373093097400018,0.026929762333575444,-0.03190534839882263,-0.11616091863899675,-0.028736278405417856,0.03622832204976457
0,d+3,,,,,,,-0.9062797871400813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,d+4,0.11904430882495397,0.09832512664528925,0.022464629773309878,0.023899003179707397,-0.014791968577592508,-0.08792577577807881,,-0.11335406646799721,-0.13267653699548432,-0.013026930770473595,-0.03232991357008402,0.0072594634898640615,0.015039360567214874,-0.05171020800935015,-0.09680228870862027,0.014908516296875136,-0.042167086331808754,0.003534434484380259,-0.14731746036055426,0.07287382353730441,0.0029252164138890255,0.11438909551018467,-0.016659917249773858,0.04179190416803388,0.00793402246252531,0.0478564304573651,0.010595447382815372,-0.10913234595694976,-0.10809758580382606,0.02986267390965796,-0.08242945941615892,0.005055627498930765,0.036118426060691766,-0.028415449371563792,-0.11047715651442168,-0.02650461752679603,0.08365596201840259
0,d+5,0.187840821466628,-0.001597008332763467,0.0028390134979599936,0.00030211597959633096,-0.019029128805747815,-0.06502517042291328,,-0.13027092957022357,-0.1585214653356768,-0.003349079383212904,-0.04472248536399799,0.011571674597180157,0.004302066732959364,-0.08237418426772035,-0.07173311789972528,-0.0019808848377611227,-0.027537077779558553,-0.021359614408608837,-0.07446723414929948,0.0635981415209569,0.0013290057792792465,-0.012418680661737111,-0.05020858151204978,-0.010300222844099278,-0.04436847819371717,0.055841664640698986,-0.0024651932364245428,-0.15935470176063365,-0.10036485117617445,-0.004870510053409764,-0.014369475181505897,-0.028598560698803486,0.037195403484179074,-0.014778960423722742,-0.09221412087067701,-0.009384695734418533,0.056713167273969134
0,d+6,0.17241938712906463,0.09624968178454534,0.021545832983601115,-0.01890286885358254,7.138916980716708e-05,-0.03632336510225736,,-0.12834036119717873,-0.10671550286816514,-0.01236001894289216,-0.024099911004745178,-0.037933940717921076,-0.021352021792338225,-0.016223359420672906,-0.13363519401164792,0.005380424923030383,,-0.054378432454329335,-0.19967941777971907,0.10489544397880508,0.018584629782380183,0.06307686715999083,-0.03654585592271825,-0.056241778770265524,-0.025167482204994446,-0.009894831828081466,0.11897744148160937,-0.06990388836506264,-0.10656047400556024,-0.059818407987622634,-0.06021981110667153,-0.012179713323377379,0.04347544352494711,-0.025123158954015457,-0.15927609405165713,-0.02068385582093987,-0.01242608930584265
0,d+7,0.3676486809390035,0.049987817617794646,-0.002574275311876596,-0.01569785186660275,-0.030809738761028504,-0.06435043134638181,-0.788419596066655,-0.17789122931923998,-0.09029430084189685,-0.012919089346225906,-0.009235227078730243,0.0022487370071769025,-0.04846162176571819,-0.06588086548043103,-0.15466407742784122,0.05077522965902554,-0.057928225118890425,0.011250268219567918,-0.0666782132430038,0.059796998640256505,0.002535023349740959,0.00013570182586865488,0.011197448895613716,-0.005031153480190055,-0.0818128815588462,-0.0071392819139073395,0.16323685111405623,-0.0849175595770254,-0.12195071140984093,-0.11428624988772025,-0.052852391203994195,-0.02015444365253423,0.012961193189480007,-0.020103555021777013,-0.1827932486824117,-0.06672800546016087,-0.002664800003506144
0,d+8,0.14987529464948812,0.01564592265408011,0.01821864418992736,0.0002917044463413272,-0.028401719631275905,-0.08507142632780576,-0.629374631984926,-0.1658167197611466,-0.16534434465482467,0.0012913413646776929,-0.05496911454168201,0.037505476318228814,-0.05778988781728136,-0.10889610711783614,-0.09958979220468962,0.017507387162482527,-0.04667923366186867,-0.04737840204194322,-0.13215564220931858,0.06214906174534879,-0.018580349172195157,0.029182724542621406,0.04909366989133061,0.016102294514945537,-0.12971196918070996,-0.023458074991317517,0.04855697028277389,0.016460339865548613,-0.11984282424549507,-0.03585369160774442,-0.1327793266656671,0.03224199424596359,0.01143695096156655,-0.0070795566647509425,-0.18047795911129552,-0.10049196195756796,-0.04534692171520659
0,d+9,0.5339904033065325,0.04307306964825495,-0.03661790443842924,-0.0412257843743969,-0.0454200447632226,-0.022369536230640932,-0.7437707192486603,-0.08055692697763044,-0.17643720108682048,-0.037499858313295394,-0.07214570534802191,0.01624475852967251,-0.020651770013577864,-0.089555958380299,-0.10958801350475088,0.007071045281568791,-0.046032367419149865,-0.011848882882391545,-0.06802091137724076,0.024507392357784492,-0.058298712155086585,0.05227745318706892,-0.012639190578919483,0.06733893710241419,-0.10037080103185854,-0.010113700567989053,0.15333132046616804,-0.009531779620094528,-0.1474749565528524,-0.16309640354706087,-0.0834566741657488,0.05001819626819512,0.048494041721924716,-0.017346163918176085,-0.22415220782399686,-0.10274696109624194,-0.0035070287839942035
0,d+10,,,,,,,-0.7713730384796562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
